##################################################################################
# BPS EoS
##################################################################################
# energy density [MeV fm-3], pressure [MeV fm-3], baryon density [1/fm-3], chemical potential [MeV]
4.409918e-12, 6.303922e-25, 4.730000e-15, 932.329389
4.431797e-12, 6.303922e-24, 4.760000e-15, 931.049685
4.572043e-12, 6.303922e-23, 4.910000e-15, 931.169700
6.507448e-12, 7.552223e-22, 6.990000e-15, 930.965383
9.200185e-12, 8.738110e-21, 9.900000e-15, 929.311631
2.530051e-11, 1.061056e-19, 2.720000e-14, 930.165781
1.189292e-10, 3.632557e-18, 1.270000e-13, 936.450600
6.451349e-10, 1.185886e-16, 6.930000e-13, 930.930811
5.856703e-09, 6.081724e-15, 6.295000e-12, 930.374790
1.470908e-08, 3.100781e-14, 1.581000e-11, 930.367330
3.695221e-08, 1.517310e-13, 3.972000e-11, 930.321217
9.278723e-08, 7.183975e-13, 9.976000e-11, 930.111783
2.331462e-07, 3.286778e-12, 2.506000e-10, 930.364892
5.856703e-07, 1.446781e-11, 6.294000e-10, 930.544630
1.470908e-06, 6.088590e-11, 1.581000e-09, 930.403880
3.695782e-06, 2.441053e-10, 3.972000e-09, 930.520089
4.652825e-06, 3.282409e-10, 5.000000e-09, 930.630716
9.284333e-06, 8.956563e-10, 9.976000e-09, 930.756699
1.852379e-05, 2.392370e-09, 1.990000e-08, 930.963807
3.696904e-05, 6.278956e-09, 3.972000e-08, 930.899184
7.376978e-05, 1.625288e-08, 7.924000e-08, 931.171505
1.472030e-04, 4.166830e-08, 1.581000e-07, 931.338587
1.853501e-04, 5.453829e-08, 1.990000e-07, 931.681456
2.937888e-04, 1.016741e-07, 3.155000e-07, 931.507173
4.656752e-04, 1.890552e-07, 5.000000e-07, 931.728560
5.862313e-04, 2.577118e-07, 6.294000e-07, 931.822404
7.382588e-04, 3.143223e-07, 7.924000e-07, 932.071026
9.295553e-04, 4.281674e-07, 9.976000e-07, 932.220789
1.473152e-03, 7.939197e-07, 1.581000e-06, 932.286854
2.335949e-03, 1.470499e-06, 2.506000e-06, 932.729428
3.703636e-03, 2.722545e-06, 3.972000e-06, 933.121362
4.663484e-03, 3.533941e-06, 5.000000e-06, 933.403606
5.867923e-03, 4.807209e-06, 6.294000e-06, 933.068028
7.393807e-03, 6.541099e-06, 7.924000e-06, 933.915753
9.306773e-03, 8.894147e-06, 9.976000e-06, 933.807819
1.172463e-02, 1.209604e-05, 1.256000e-05, 934.452407
1.475957e-02, 1.562249e-05, 1.581000e-05, 934.546983
1.858550e-02, 2.124609e-05, 1.990000e-05, 935.012163
2.340437e-02, 2.888569e-05, 2.506000e-05, 935.086158
2.947425e-02, 3.713073e-05, 3.155000e-05, 935.384545
3.712050e-02, 5.048755e-05, 3.972000e-05, 935.825545
4.674704e-02, 6.865658e-05, 5.000000e-05, 936.313897
5.884753e-02, 9.331053e-05, 6.294000e-05, 936.460696
7.416247e-02, 1.268898e-04, 7.924000e-05, 937.523446
9.334822e-02, 1.620919e-04, 9.976000e-05, 937.352766
1.034460e-01, 1.805044e-04, 1.105000e-04, 937.796276
1.175829e-01, 2.053456e-04, 1.256000e-04, 937.804137
1.481005e-01, 2.791826e-04, 1.581000e-04, 938.518178
1.865281e-01, 3.630060e-04, 1.990000e-04, 939.151507
2.349413e-01, 4.704848e-04, 2.506000e-04, 939.392650
2.411683e-01, 4.871496e-04, 2.572000e-04, 939.562276
2.502002e-01, 4.924549e-04, 2.670000e-04, 938.923640
2.932840e-01, 5.212907e-04, 3.126000e-04, 939.876012
3.708123e-01, 5.678523e-04, 3.951000e-04, 939.965053
4.467700e-01, 6.136026e-04, 4.759000e-04, 940.078943
5.457281e-01, 6.759552e-04, 5.812000e-04, 940.130782
6.709403e-01, 7.602156e-04, 7.143000e-04, 940.361958
8.252117e-01, 8.731868e-04, 8.786000e-04, 940.228676
1.012581e+00, 1.022359e-03, 1.077000e-03, 941.136222
1.235293e+00, 1.217094e-03, 1.314000e-03, 941.027584
1.643692e+00, 1.617799e-03, 1.748000e-03, 941.252524
2.150263e+00, 2.188272e-03, 2.287000e-03, 941.167930
2.767348e+00, 2.977823e-03, 2.942000e-03, 941.647245
3.505046e+00, 4.045121e-03, 3.726000e-03, 941.785095
4.376259e+00, 5.460070e-03, 4.650000e-03, 942.305133
5.392206e+00, 7.302563e-03, 5.728000e-03, 942.651647
6.989897e+00, 1.057935e-02, 7.424000e-03, 942.952063
8.392364e+00, 1.378749e-02, 8.907000e-03, 943.769114
# energy density [MeV fm-3], pressure [MeV fm-3], baryon density [1/fm-3], chemical potential [MeV]
